rank,experience_id,psi_value,n_marginals,content
1,G6,0.065714,7,"Academic search: Combine conference, year, format and technical keywords, then systematically refine using discovered identifiers and prioritize domain-specific sources for accurate identification."
2,G1,0.045714,7,"Boundary handling: Systematically enumerate numerical combinations for constrained problems, compute all valid combinations first to narrow search space, prioritize official documentation, accept definitive negative findings early, and conduct targeted verification to improve efficiency."
3,G31,0.042222,9,"Naming convention mapping: When encountering multiple naming variations, systematically verify hierarchical relationships between terms by analyzing publication dates, URL structures, and document metadata across all authoritative sources to establish naming conventions."
4,G33,0.042222,9,"Error documentation: After finding correct solutions, explicitly extract and document underlying conceptual insights that caused initial errors to build reusable knowledge for similar future problems."
5,G8,0.042222,9,"Search broadening: When exact-phrase searches fail, systematically broaden terms by removing restrictive filters, testing alternative phrasing, incorporating discovered terminology from results into subsequent queries, and pivoting to academic databases or domain-specific terminology while maintaining core search intent."
6,G7,0.037500,8,"Information synthesis: Cross-verify critical requirements and filter irrelevant details for core objectives, explicitly addressing how different sources complement each other to provide comprehensive coverage and cross-referencing technical constraints with presentation gaps to ensure extracted limitations directly address missing data elements."
7,G22,0.034286,7,"Structured data prioritization: For precise numerical values, prioritize accessing and parsing structured data files (CSV/Excel) from official databases and full PDF documents over textual summaries, as exact values are often only available in downloadable datasets and detailed reports."
8,G4,0.032500,8,"URL prioritization: Immediately explore relevant URLs and promising sources from initial results, systematically verify findings across multiple sources, and conclude search once authoritative sources provide consistent answers to prevent redundant iterations."
9,G13,0.031429,7,"Indirect synthesis: When direct evidence is unavailable due to paywalls or restrictions, systematically search for third-party citations and synthesize available contextual information including regional data, historical trends, political context, related economic indicators, and timeline analysis to provide informed estimates rather than abandoning search entirely."
10,G15,0.031429,7,"Systematic verification: Cross-reference promising results with multiple authoritative sources and verify across different formats (web pages, PDF documents) to ensure robust confirmation and handle potential access limitations."
11,G39,0.028889,9,"Document type prioritization: When identifying regulatory documents, distinguish between legislative instruments (decrees, laws) and implementation guidelines (circulars, instructions), and prioritize the document type that directly addresses query requirements based on specificity needs."
12,G21,0.028571,7,"Version exploration: Check multiple versions and formats of academic papers for varying detail levels, systematically inspecting both HTML and PDF versions for complete metadata and prioritizing full text access for detailed methodology sections."
13,G37,0.022857,7,"Platform hierarchy: When identifying parent platforms for academic resources, systematically trace hierarchical relationships by investigating 'About' pages and platform descriptions to identify overarching ecosystems, then verify relationships across multiple official pages."
14,G18,0.020000,7,"Source prioritization: Extract key details from authoritative primary sources first, establish clear verification endpoints when consistent terminology appears across page elements, and avoid redundant searches that don't add new information value."
15,G40,0.020000,6,"Candidate comparison: When encountering multiple authoritative candidates, systematically compare them against explicit criteria from the most authoritative source rather than selecting based on partial evidence or perceived prominence."
16,G43,0.020000,8,"Summary prioritization: When searching for high-level overviews in government contexts, prioritize immediate inspection of public-facing documents with titles containing 'Highlights,' 'Summary,' or 'Overview' as these are specifically designed for summary purposes."
17,G19,0.020000,9,"Historical research: Prioritize established knowledge bases over current official documents for historical facts."
