rank,experience_id,score,psi_proxy,remove,content
1,G2,10.0,1.0000,False,"Geometry verification: Systematically verify all constraints (position, distances, angles, area) and mathematical definitions early using multiple independent methods (computational, geometric, pattern analysis), remaining flexible to reconsider assumptions when encountering contradictions, especially in constrained optimization."
2,G0,9.0,0.8000,False,"Combinatorial enumeration: Systematically enumerate small cases using computational methods to identify patterns before theoretical generalization, especially for grid paths, probability problems, and constrained assignments."
3,G12,9.0,0.8000,False,"Symmetry exploitation: Immediately identify and exploit symmetry properties in geometry problems to simplify coordinate placements and reduce computational complexity."
4,G17,8.0,0.6000,False,"Transformation verification: When applying geometric transformations, systematically verify derived lengths and angles after each step and use contradictions to re-examine initial mapping assumptions."
5,G18,9.0,0.8000,False,"Boundary exploration: For geometric optimization, systematically explore boundary cases where points become collinear, as these configurations often yield extremal values and provide analytical insights."
6,G19,8.0,0.6000,False,"Complex root analysis: When solving equations with complex coefficients, systematically analyze conditions for real roots by separating into real and imaginary parts to address core requirements efficiently."
7,G21,8.0,0.6000,False,"Geometric sequence transformation: For nested geometric patterns, use variable substitution to convert complex recurrences into linear sequences, enabling closed-form solutions and termination analysis."
8,G16,9.0,0.8000,False,"Systematic testing: Test mathematical characterizations on smaller, verifiable cases before scaling to target problems, using both manual reasoning and computational verification."
9,G26,8.0,0.6000,False,"Root verification: Before applying root of unity properties, systematically verify the exact order by computing powers, modulus, and argument to avoid incorrect assumptions."
10,G10,8.0,0.6000,False,"Pattern identification: Systematically test small cases to identify patterns in combinatorial optimization problems, verifying constraints and checking adjacency conditions before generalizing to larger scales."
11,G11,9.0,0.8000,False,"Constraint clarification: Clarify ambiguous constraints by testing multiple interpretations on small cases and checking for mathematically interesting results."
12,G14,9.0,0.8000,False,"Hybrid numerical-analytical: Use numerical testing on specific cases to identify invariant relationships and patterns before complex symbolic derivations, especially for parametric problems, then leverage insights to derive exact analytical expressions."
13,G9,8.0,0.6000,False,"Method flexibility: Maintain strategic flexibility by switching between algebraic, geometric, and numerical approaches when one method becomes overly complex."
14,G15,8.0,0.6000,False,"Bijective verification: Verify combinatorial mappings are bijective by testing for cases where multiple pairs yield identical outcomes, applying inclusion-exclusion to correct overcounting."
15,G13,8.0,0.6000,False,"Condition combination: Systematically combine multiple given conditions early to eliminate variables and constrain the problem space."
16,G4,8.0,0.6000,False,"Burnside's lemma application: Analyze cycle structures and verify no cycles of length >1 exist when counting arrangements with distinct elements."
17,G3,9.0,0.8000,False,"Parallel lines angles: Apply the theorem that sum of angles on one side equals sum on the other side for transversals crossing parallel lines in zigzag patterns."
18,G24,8.0,0.6000,False,"GCD constraint verification: For problems with gcd constraints, explicitly verify prime assignment chains ensuring proper distribution throughout sequences."
19,G2,10.0,1.0000,False,"Geometry verification: Systematically verify all constraints (position, distances, angles, area) and mathematical definitions early using multiple independent methods (computational, geometric, pattern analysis), remaining flexible to reconsider assumptions when encountering contradictions, especially in constrained optimization."
20,G8,10.0,1.0000,False,"Code isolation: Bundle all necessary imports and variable definitions in each computational execution block to prevent context errors."
21,G7,6.0,0.2000,False,"Format verification: Verify rounding rules early using scientific notation or custom functions, especially for ambiguous significant figures between 10 and 100."
22,G6,9.0,0.8000,False,"Result verification: Verify combinatorial results using multiple independent methods and thoroughly investigate discrepancies rather than dismissing conflicting outcomes."
23,G1,8.0,0.6000,False,"Trigonometric simplification: Identify complementary angle pairs and apply trigonometric identities for symmetric angle patterns before numerical computation."
24,G16,9.0,0.8000,False,"Systematic testing: Test mathematical characterizations on smaller, verifiable cases before scaling to target problems, using both manual reasoning and computational verification."
25,G12,9.0,0.8000,False,"Symmetry exploitation: Immediately identify and exploit symmetry properties in geometry problems to simplify coordinate placements and reduce computational complexity."
26,G5,7.0,0.4000,False,"Divisibility sequences: For sequences modulo N, analyze gcd(a_i, N) chain in divisor lattice and maximize distinct residues by summing φ(N/d) over optimal chains, systematically verifying both finite sequence validity and infinite extensibility through prime factor analysis."
27,G20,9.0,0.8000,False,"Inequality analysis: Systematically analyze absolute value inequalities by considering separate cases, combining constraints to find intersections, and carefully verifying boundary conditions."
28,G22,2.0,-0.6000,True,"Constraint reduction: When solving constrained approximation problems, first analyze sum/integer constraints to reduce continuous problems to discrete combinatorial selection."
29,G23,2.0,-0.6000,True,"Min-max balancing: For min-max optimization with discrete assignments, calculate all relevant error metrics and use combinatorial reasoning to identify optimal assignments by balancing largest errors."
30,G25,8.0,0.6000,False,"Constraint interpretation: When solving problems with coefficient constraints, explicitly test different interpretations and choose the one that yields mathematically consistent and unique solutions."
