rank,experience_id,psi_value,n_marginals,content
1,G14,0.040000,2,"Hybrid numerical-analytical: Use numerical testing on specific cases to identify invariant relationships and patterns before complex symbolic derivations, especially for parametric problems, then leverage insights to derive exact analytical expressions."
2,G24,0.040000,2,"GCD constraint verification: For problems with gcd constraints, explicitly verify prime assignment chains ensuring proper distribution throughout sequences."
3,G11,0.040000,2,"Constraint clarification: Clarify ambiguous constraints by testing multiple interpretations on small cases and checking for mathematically interesting results."
4,G12,0.040000,2,"Symmetry exploitation: Immediately identify and exploit symmetry properties in geometry problems to simplify coordinate placements and reduce computational complexity."
5,G19,0.040000,2,"Complex root analysis: When solving equations with complex coefficients, systematically analyze conditions for real roots by separating into real and imaginary parts to address core requirements efficiently."
6,G10,0.030000,2,"Pattern identification: Systematically test small cases to identify patterns in combinatorial optimization problems, verifying constraints and checking adjacency conditions before generalizing to larger scales."
7,G8,0.020000,1,"Code isolation: Bundle all necessary imports and variable definitions in each computational execution block to prevent context errors."
8,G9,0.020000,2,"Method flexibility: Maintain strategic flexibility by switching between algebraic, geometric, and numerical approaches when one method becomes overly complex."
9,G6,0.010000,2,"Result verification: Verify combinatorial results using multiple independent methods and thoroughly investigate discrepancies rather than dismissing conflicting outcomes."
10,G15,0.010000,2,"Bijective verification: Verify combinatorial mappings are bijective by testing for cases where multiple pairs yield identical outcomes, applying inclusion-exclusion to correct overcounting."
11,G16,0.010000,2,"Systematic testing: Test mathematical characterizations on smaller, verifiable cases before scaling to target problems, using both manual reasoning and computational verification."
12,G22,0.000000,2,"Constraint reduction: When solving constrained approximation problems, first analyze sum/integer constraints to reduce continuous problems to discrete combinatorial selection."
13,G0,0.000000,0,"Combinatorial enumeration: Systematically enumerate small cases using computational methods to identify patterns before theoretical generalization, especially for grid paths, probability problems, and constrained assignments."
14,G17,0.000000,1,"Transformation verification: When applying geometric transformations, systematically verify derived lengths and angles after each step and use contradictions to re-examine initial mapping assumptions."
15,G18,0.000000,1,"Boundary exploration: For geometric optimization, systematically explore boundary cases where points become collinear, as these configurations often yield extremal values and provide analytical insights."
16,G21,0.000000,0,"Geometric sequence transformation: For nested geometric patterns, use variable substitution to convert complex recurrences into linear sequences, enabling closed-form solutions and termination analysis."
17,G23,0.000000,0,"Min-max balancing: For min-max optimization with discrete assignments, calculate all relevant error metrics and use combinatorial reasoning to identify optimal assignments by balancing largest errors."
18,G25,0.000000,0,"Constraint interpretation: When solving problems with coefficient constraints, explicitly test different interpretations and choose the one that yields mathematically consistent and unique solutions."
19,G1,-0.010000,2,"Trigonometric simplification: Identify complementary angle pairs and apply trigonometric identities for symmetric angle patterns before numerical computation."
20,G5,-0.020000,3,"Divisibility sequences: For sequences modulo N, analyze gcd(a_i, N) chain in divisor lattice and maximize distinct residues by summing φ(N/d) over optimal chains, systematically verifying both finite sequence validity and infinite extensibility through prime factor analysis."
21,G3,-0.020000,2,"Parallel lines angles: Apply the theorem that sum of angles on one side equals sum on the other side for transversals crossing parallel lines in zigzag patterns."
22,G4,-0.030000,2,"Burnside's lemma application: Analyze cycle structures and verify no cycles of length >1 exist when counting arrangements with distinct elements."
23,G7,-0.040000,1,"Format verification: Verify rounding rules early using scientific notation or custom functions, especially for ambiguous significant figures between 10 and 100."
24,G2,-0.040000,2,"Geometry verification: Systematically verify all constraints (position, distances, angles, area) and mathematical definitions early using multiple independent methods (computational, geometric, pattern analysis), remaining flexible to reconsider assumptions when encountering contradictions, especially in constrained optimization."
25,G26,-0.040000,2,"Root verification: Before applying root of unity properties, systematically verify the exact order by computing powers, modulus, and argument to avoid incorrect assumptions."
26,G13,-0.060000,1,"Condition combination: Systematically combine multiple given conditions early to eliminate variables and constrain the problem space."
27,G20,-0.080000,1,"Inequality analysis: Systematically analyze absolute value inequalities by considering separate cases, combining constraints to find intersections, and carefully verifying boundary conditions."
